Sub,Percept,Cond,dB,Rep,Mean,dur_1,dur_2,dur_3,dur_4,dur_5,dur_6,dur_7,dur_8,dur_9,dur_10,dur_11,dur_12,dur_13,dur_14,dur_15,dur_16,dur_17,dur_18,dur_19,dur_20
Sub003,SIM,db002,2,2,19.8910782119214,4.69598755630477,21.4611166606039,14.0172069563055,23.1178728312871,36.1632070551057,,,,,,,,,,,,,,,
Sub003,AM ,db002,2,2,12.9561911916825,7.63754594370585,5.77036551590072,5.99226952443109,5.38878688087061,7.34587390397519,45.6023053812116,,,,,,,,,,,,,,
Sub003,SIM,db004,4,2,15.0799422724437,20.9851860619838,6.61294661387956,9.36155330624661,32.1362310667669,6.30379431334177,,,,,,,,,,,,,,,
Sub003,AM ,db004,4,2,17.0919264396015,15.3019822275087,41.5554266020231,28.3312845119108,11.9140515082754,3.94100119265977,1.50781259523137,,,,,,,,,,,,,,
Sub003,SIM,db006,6,2,0,0,,,,,,,,,,,,,,,,,,,
Sub003,AM ,db006,6,2,177.390199274909,177.390199274909,,,,,,,,,,,,,,,,,,,
Sub003,SIM,db0.5,0.5,3,25.4363811276183,51.4384782584984,18.0333145997852,15.3692770454372,24.7543861843933,17.5864495499773,,,,,,,,,,,,,,,
Sub003,AM ,db0.5,0.5,3,10.1356339670022,12.0384964787986,12.3417724117712,7.18513845824191,3.59798094695543,15.5147815392438,,,,,,,,,,,,,,,
Sub003,SIM,db001,1,3,86.5795255151563,59.5702180854441,113.588832944868,,,,,,,,,,,,,,,,,,
Sub003,AM ,db001,1,3,3.81296958172197,3.81296958172197,,,,,,,,,,,,,,,,,,,
Sub003,SIM,db002,2,3,26.4003030087235,4.47182782329674,9.36222918956264,66.6784418563921,40.8166861380087,10.6723300363574,,,,,,,,,,,,,,,
Sub003,AM ,db002,2,3,9.3906593374868,2.7136862682446,15.3705495794256,14.877719973234,4.21462968202377,9.77671118450598,,,,,,,,,,,,,,,
Sub003,SIM,db004,4,3,19.5180899030668,40.6840163700417,29.7494936488783,7.51854204238043,0.120307550966572,,,,,,,,,,,,,,,,
Sub003,AM ,db004,4,3,24.7106228198995,17.5888258877103,23.7574236495648,22.675137181538,34.821104560785,,,,,,,,,,,,,,,,
Sub003,SIM,db006,6,3,0,0,,,,,,,,,,,,,,,,,,,
Sub003,AM ,db006,6,3,177.57595010204,177.57595010204,,,,,,,,,,,,,,,,,,,
Sub004,SIM,db0.5,0.5,1,177.762838054796,177.762838054796,,,,,,,,,,,,,,,,,,,
Sub004,AM ,db0.5,0.5,1,0,0,,,,,,,,,,,,,,,,,,,
Sub004,SIM,db001,1,1,24.1221174742922,1.8966062119739,0.12058005453855,41.4586013291073,32.2151155871613,44.9196841886799,,,,,,,,,,,,,,,
Sub004,AM ,db001,1,1,14.1285895341388,27.6096789311456,2.60970298941663,12.3449529436257,13.9500232723674,,,,,,,,,,,,,,,,
Sub004,SIM,db002,2,1,5.58339275726288,4.62637055960499,3.79388605553743,8.32992165664621,,,,,,,,,,,,,,,,,
Sub004,AM ,db002,2,1,31.4898197265633,33.4677890224355,11.0587377876207,5.49952444817541,63.8469088810626,43.5761384935224,,,,,,,,,,,,,,,
Sub004,SIM,db004,4,1,6.49810484979469,4.59642795622426,8.39978174336511,,,,,,,,,,,,,,,,,,
Sub004,AM ,db004,4,1,55.1702318351232,9.30330486865614,11.7015067855552,144.505883851158,,,,,,,,,,,,,,,,,
Sub004,SIM,db006,6,1,0,0,,,,,,,,,,,,,,,,,,,
Sub004,AM ,db006,6,1,177.613729702438,177.613729702438,,,,,,,,,,,,,,,,,,,
Sub004,SIM,db0.5,0.5,2,61.6690640466459,70.9241359311559,52.4139921621359,,,,,,,,,,,,,,,,,,
Sub004,AM ,db0.5,0.5,2,27.348249087149,1.85053269823766,52.8459654760604,,,,,,,,,,,,,,,,,,
Sub004,SIM,db001,1,2,177.387075768478,177.387075768478,,,,,,,,,,,,,,,,,,,
Sub004,AM ,db001,1,2,0,0,,,,,,,,,,,,,,,,,,,
Sub004,SIM,db002,2,2,21.5277092740787,4.53195820533028,30.6708424340427,14.931929527871,35.9761069290707,,,,,,,,,,,,,,,,
